Id,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,BedroomAbvGr,FullBath,HalfBath,TotRmsAbvGrd,GarageCars,GarageArea,LotArea,LotFrontage,ExterQual,KitchenQual,BsmtQual,SaleCondition,MoSold,YrSold,SalePrice
260,StoneBr,1Fam,2Story,9,7,1965,1974,1180,979,668,472,3,2,0,6,2,337,8116,104,TA,Gd,Ex,Normal,2,2007,755000
52,Edwards,1Fam,1Story,8,6,1914,1935,1168,583,749,0,3,1,0,5,3,811,6389,83,TA,Fa,TA,Abnorml,6,2006,384259
245,NoRidge,1Fam,1Story,10,5,1960,1999,1945,1237,1239,0,4,3,1,10,2,281,14556,90,Gd,TA,TA,Abnorml,5,2006,755000
1102,BrDale,1Fam,1Story,7,7,1890,1903,1451,1125,808,0,3,3,0,9,1,202,5053,92,TA,Ex,TA,Family,9,2006,257264
582,BrDale,1Fam,1.5Fin,6,6,1872,1900,1362,435,737,0,3,2,0,7,2,560,5240,47,Gd,TA,TA,Normal,7,2009,253104
680,Landmrk,TwnhsE,2Story,7,5,1938,1947,1819,645,1269,727,3,2,1,6,2,556,4857,73,TA,Gd,TA,Normal,1,2006,388682
1133,StoneBr,1Fam,1.5Fin,9,3,1875,1889,1518,1085,807,0,2,1,1,5,2,535,7574,100,TA,TA,Gd,Normal,3,2007,679995
1221,IDOTRR,1Fam,1Story,6,8,2002,2010,1457,1281,971,0,3,2,2,7,1,251,18666,81,TA,TA,Fa,Normal,7,2009,299213
50,Veenker,1Fam,1Story,8,6,1976,1979,1126,714,519,0,2,3,1,8,2,503,24819,92,TA,TA,TA,Normal,12,2007,593416
592,SWISU,1Fam,1Story,9,8,1914,1943,1428,1182,895,0,3,2,0,6,1,157,9037,123,Gd,Gd,TA,Normal,10,2009,553678
1270,Crawfor,1Fam,2Story,8,6,1964,1987,847,720,391,338,3,2,0,6,2,479,12248,94,Gd,Ex,TA,Normal,9,2007,586543
1250,SWISU,1Fam,1Story,5,4,1926,1932,1162,450,647,0,4,1,1,6,2,554,4558,91,Fa,TA,Ex,Normal,2,2008,259267
1139,SawyerW,1Fam,1.5Fin,5,7,1978,2007,696,276,368,0,2,3,0,7,0,0,7852,80,TA,TA,Gd,Normal,7,2010,305857
491,NWAmes,1Fam,1Story,7,3,1913,1913,1764,750,810,0,2,2,0,6,3,818,6511,78,TA,TA,TA,Normal,1,2010,392167
1025,IDOTRR,1Fam,1Story,7,6,1957,1964,2073,1720,989,0,3,3,0,7,2,385,11446,62,TA,Gd,Gd,Abnorml,5,2007,481326
812,BrkSide,1Fam,SLvl,8,7,1892,1927,1293,723,678,0,4,1,0,8,4,1041,10105,89,TA,Gd,Gd,Normal,10,2006,446520
142,ClearCr,1Fam,1Story,8,2,1945,1954,1337,761,894,0,5,2,0,8,2,490,13149,76,Gd,TA,TA,Normal,5,2007,621840
847,StoneBr,1Fam,2Story,8,6,1945,1947,1450,1059,800,580,3,3,1,7,3,799,7560,55,TA,Ex,Gd,Normal,11,2008,755000
926,NoRidge,1Fam,2Story,8,8,1945,1965,1157,413,468,462,3,1,0,6,2,442,7558,63,TA,Gd,Gd,Normal,7,2010,729451
773,Timber,TwnhsE,2Story,9,5,2010,2010,985,556,437,394,1,2,1,4,2,489,7988,121,TA,Gd,TA,Normal,1,2010,604724
533,BrDale,1Fam,2Story,8,8,1994,2010,1521,1299,770,608,3,2,1,8,1,254,6053,73,TA,Gd,Gd,Normal,6,2007,451598
30,NridgHt,1Fam,SFoyer,8,6,1945,1947,998,747,685,0,1,3,0,7,3,628,7739,88,Gd,TA,TA,Normal,5,2007,691470
1300,Sawyer,1Fam,1Story,6,5,1888,1913,1244,605,725,0,2,2,0,7,2,451,9978,104,Gd,TA,Gd,Normal,3,2006,363626
66,NAmes,1Fam,SLvl,10,6,1990,1992,1203,915,828,0,3,2,0,7,1,186,7095,77,TA,TA,Gd,Normal,11,2009,609742
766,NAmes,1Fam,2Story,9,5,1986,2010,1011,722,489,404,3,2,1,8,2,375,11901,60,Gd,TA,Gd,Normal,9,2006,642734
1348,Blmngtn,1Fam,1Story,5,6,1997,2010,1739,1164,885,0,2,1,1,5,2,477,10064,73,Gd,Gd,Ex,Normal,6,2009,751287
176,Veenker,1Fam,2Story,8,7,1915,1940,1503,1242,938,601,4,2,1,9,2,443,24397,82,TA,Ex,Gd,AdjLand,4,2009,745022
395,CollgCr,Twnhs,1Story,7,6,1877,1885,2126,1503,1288,0,3,2,1,6,2,463,4458,78,Gd,TA,Ex,Normal,12,2007,755000
620,OldTown,1Fam,1Story,8,6,1935,1958,1659,1454,788,0,3,2,1,8,2,345,4905,58,TA,Gd,Gd,Normal,1,2008,538308
1132,SawyerW,1Fam,2Story,9,6,1980,2000,1531,817,656,612,4,1,0,8,2,344,11233,73,Gd,TA,TA,Normal,8,2006,657233
116,Landmrk,1Fam,1Story,8,6,1930,1937,1137,993,560,0,4,2,1,7,3,714,9214,87,Fa,Gd,TA,Normal,11,2008,319766
895,Blueste,1Fam,1Story,7,5,1969,1987,1475,858,910,0,3,1,0,7,2,601,7821,99,TA,TA,Gd,Normal,5,2008,500374
1222,Timber,TwnhsE,1Story,7,6,1967,1985,1358,836,872,0,3,2,2,8,2,485,23193,107,Gd,TA,NA,Abnorml,9,2009,391291
428,MeadowV,1Fam,1Story,10,4,1961,1995,2096,1366,1006,0,4,2,0,7,2,486,11206,23,TA,Gd,Gd,Normal,3,2009,560692
737,Gilbert,1Fam,1Story,7,8,1966,1992,2100,1311,1420,0,3,2,0,8,1,225,6579,92,Gd,TA,Gd,Normal,10,2006,755000
899,NoRidge,1Fam,1.5Fin,10,5,1957,1988,1308,804,812,0,2,1,0,4,4,1080,10799,63,Gd,TA,TA,Abnorml,6,2008,755000
683,Veenker,1Fam,1Story,7,7,1982,2008,835,666,383,0,3,2,1,8,2,469,16197,83,TA,Gd,Gd,Family,1,2008,584841
991,Edwards,1Fam,1Story,7,8,1881,1912,679,224,341,0,4,2,1,7,3,713,12476,63,TA,Gd,TA,Normal,3,2007,277781
719,Timber,1Fam,1Story,7,7,1996,2007,1677,1460,930,0,3,2,1,6,2,408,6450,99,TA,TA,Gd,Normal,12,2008,755000
45,ClearCr,1Fam,1.5Fin,7,6,1925,1935,2000,815,958,0,2,2,2,5,1,234,8772,119,Gd,Gd,TA,Normal,11,2007,596689
60,CollgCr,Twnhs,SLvl,6,6,2003,2004,1680,1069,1037,0,3,2,0,8,2,570,7213,88,TA,TA,Gd,Normal,1,2008,680526
364,NAmes,1Fam,1.5Fin,10,6,2009,2010,1498,686,993,0,4,1,0,8,2,434,7527,95,TA,Gd,TA,Partial,1,2009,574446
399,OldTown,TwnhsE,1.5Fin,6,7,1908,1916,1304,800,597,0,4,2,0,7,2,468,6003,61,TA,TA,TA,Normal,4,2009,313151
423,StoneBr,1Fam,2Story,9,5,1874,1885,2103,1544,1386,841,3,3,1,8,2,503,14789,48,Gd,TA,Gd,Normal,8,2006,755000
495,SawyerW,Duplex,2Story,7,5,1932,1952,1017,780,482,406,3,3,0,9,1,197,8589,73,Gd,Gd,Gd,Normal,5,2006,472113
417,Crawfor,1Fam,1.5Fin,6,6,1953,1961,932,823,649,0,3,2,0,7,2,446,7275,92,TA,Gd,Gd,Normal,1,2006,455786
585,SWISU,TwnhsE,1.5Fin,7,6,1933,1935,2554,1577,1282,0,3,2,1,8,3,724,9656,50,TA,Gd,TA,Normal,12,2009,529459
271,BrkSide,1Fam,1Story,4,9,1981,2008,1131,408,620,0,3,1,1,5,3,569,9007,92,TA,TA,TA,Alloca,1,2010,271169
352,Landmrk,1Fam,1Story,4,6,1900,1924,1264,459,637,0,3,2,0,7,3,852,12654,47,Ex,Gd,TA,Normal,7,2010,308819
1079,Somerst,1Fam,2Story,10,6,1956,1975,1585,1007,869,634,4,2,1,8,2,341,16308,110,TA,Gd,TA,Normal,10,2009,727092
1345,OldTown,1Fam,2Story,5,5,1923,1947,1862,1664,1099,744,2,1,0,5,1,208,13651,76,TA,Ex,TA,Normal,3,2007,291346
837,MeadowV,1Fam,1Story,7,6,1880,1896,1894,935,1240,0,3,1,1,5,1,272,5439,82,TA,Ex,TA,Normal,5,2010,320339
644,CollgCr,1Fam,1Story,8,2,1974,2010,2002,1196,846,0,3,3,0,7,2,445,10989,75,TA,TA,TA,Normal,7,2007,531308
275,Mitchel,1Fam,1Story,7,5,1904,1943,1340,1090,817,0,3,2,0,6,2,425,12947,61,Gd,Gd,Gd,Normal,8,2007,493044
323,Blueste,1Fam,2Story,8,5,1988,2007,2311,1249,1193,924,3,3,0,9,1,303,6862,65,Po,Gd,TA,Normal,9,2010,395419
79,Blmngtn,1Fam,1Story,7,5,1928,1964,1665,906,848,0,2,1,0,6,1,231,10611,53,TA,Gd,TA,Normal,6,2009,451512
923,MeadowV,Twnhs,1Story,8,5,1903,1905,785,409,453,0,2,2,0,6,2,333,14165,84,Ex,Gd,Gd,Normal,4,2007,398488
276,Mitchel,TwnhsE,2Story,6,7,1902,1912,1487,975,887,594,3,2,1,8,1,197,13854,68,TA,TA,Gd,Normal,2,2009,397987
1266,NridgHt,1Fam,2Story,6,3,1889,1897,1790,1548,980,716,4,1,1,6,1,211,7993,48,TA,TA,TA,Alloca,1,2007,458459
221,Blueste,1Fam,1Story,6,6,1904,1935,469,150,213,0,2,2,0,7,1,224,4507,42,TA,TA,TA,Normal,12,2007,183495
317,Gilbert,1Fam,1Story,7,7,1954,1976,1088,487,618,0,3,2,1,6,2,455,2513,20,Ex,Gd,Ex,Normal,11,2006,671392
1007,Blueste,1Fam,2Story,7,6,1980,2010,1941,1049,858,776,3,2,0,7,2,422,4669,109,TA,Gd,Gd,Normal,10,2006,517736
1241,Landmrk,1Fam,2Story,5,6,1963,2002,1151,681,479,460,4,2,1,7,4,988,18826,93,TA,TA,Gd,Normal,1,2010,377476
71,Edwards,1Fam,1Story,7,6,1956,1990,1463,455,993,0,4,1,0,6,2,396,4164,67,Gd,Gd,TA,Normal,5,2008,428057
16,Veenker,1Fam,1Story,9,7,1996,2005,1301,450,881,0,2,2,0,6,2,511,15332,73,TA,Gd,Gd,Normal,9,2006,755000
1165,Veenker,1Fam,1Story,8,6,2003,2010,1599,840,995,0,4,1,0,7,2,512,5921,64,TA,Gd,TA,Normal,5,2008,646820
1321,ClearCr,1Fam,2Story,7,7,1990,2010,1649,1120,970,659,4,2,1,8,1,194,4452,56,Po,TA,TA,Partial,4,2010,413269
755,Timber,1Fam,2Story,10,7,1875,1903,1160,825,778,464,3,2,0,7,2,440,10642,50,Gd,Gd,Gd,Abnorml,6,2006,755000
721,IDOTRR,1Fam,1Story,7,5,1992,1997,753,300,452,0,4,2,0,9,2,554,10768,63,Gd,TA,Gd,Normal,8,2010,399496
1048,NoRidge,1Fam,1Story,6,6,1927,1946,1656,604,997,0,3,1,1,5,2,493,3495,68,TA,Fa,TA,Normal,3,2006,595407
629,NoRidge,TwnhsE,1Story,6,8,2005,2010,2018,1487,1139,0,1,2,1,5,2,500,8182,52,TA,Gd,Gd,Normal,12,2008,755000
637,Mitchel,1Fam,1Story,4,6,1972,2005,1472,1225,732,0,2,2,1,5,2,452,8152,120,Ex,TA,TA,Normal,6,2007,487017
465,BrDale,1Fam,1Story,6,6,1946,1980,1132,627,790,0,2,1,0,6,2,403,10111,67,Gd,Gd,Gd,Normal,12,2010,287992
856,Veenker,1Fam,SFoyer,1,7,1923,1937,1143,397,692,0,4,3,1,8,3,672,11587,118,Gd,Gd,TA,Normal,12,2007,293372
1398,ClearCr,1Fam,1Story,6,7,1916,1927,1760,1502,1149,0,3,2,0,8,1,190,10920,47,Fa,Fa,TA,Normal,4,2009,425418
383,SWISU,1Fam,2Story,8,5,1875,1898,1312,623,683,524,3,2,0,6,2,426,8207,70,TA,Gd,TA,Normal,7,2010,326298
1429,SWISU,1Fam,1.5Fin,8,6,1874,1874,1010,821,488,0,3,2,1,8,2,429,17936,83,TA,TA,TA,Normal,10,2009,322798
789,SawyerW,1Fam,1Story,6,6,1966,1971,1647,999,916,0,3,2,0,6,3,635,21947,64,Gd,TA,Gd,Partial,7,2008,620686
1341,ClearCr,1Fam,1Story,5,5,1959,1979,1565,1333,1029,0,3,2,0,8,2,505,6903,100,TA,TA,TA,Normal,9,2008,467579
1217,StoneBr,1Fam,2Story,7,7,1961,1974,1462,811,821,584,4,1,1,7,2,390,8563,70,Ex,Gd,Gd,Normal,10,2009,755000
333,NoRidge,1Fam,2Story,6,3,1934,1947,1404,1236,825,561,3,2,0,8,2,536,9499,26,Gd,TA,Gd,Normal,3,2010,722247
544,Blueste,1Fam,2Story,9,5,1895,1927,1944,1571,1199,777,4,2,1,9,2,553,8734,95,TA,Gd,TA,Normal,10,2008,474684
204,MeadowV,1Fam,1Story,8,5,1901,1920,1704,1088,746,0,3,2,2,7,1,236,8066,61,TA,Gd,TA,Normal,1,2010,359651
1135,Blueste,1Fam,2Story,5,6,1888,1895,725,404,328,290,2,2,0,5,2,508,26552,71,Gd,TA,Gd,Partial,5,2008,303581
1415,Mitchel,1Fam,1Story,7,6,1976,2010,1223,646,660,0,3,2,1,8,2,458,13028,100,Gd,TA,Gd,Normal,5,2007,532778
430,Timber,Duplex,1Story,9,6,1948,1976,1072,544,726,0,4,2,1,7,4,758,6949,63,TA,TA,TA,Partial,8,2009,662424
1273,Edwards,1Fam,1Story,6,6,1918,1944,2137,1154,1447,0,2,1,0,6,2,577,15775,57,TA,TA,Gd,Normal,4,2008,450641
747,Blmngtn,1Fam,1.5Fin,8,6,1894,1930,1856,1156,1195,0,3,2,2,8,1,231,9531,93,TA,TA,Gd,Normal,3,2007,558860
590,Timber,1Fam,1Story,7,6,1906,1913,1006,708,532,0,3,1,1,5,2,418,8830,26,TA,TA,Ex,Partial,2,2006,553889
839,NPkVill,1Fam,1Story,6,6,1907,1933,2202,1585,938,0,2,2,0,7,2,529,16836,57,Gd,Gd,Po,Normal,10,2009,384211
1294,Blueste,1Fam,1Story,7,5,1874,1890,1806,1295,788,0,3,2,1,6,1,284,13010,41,TA,TA,TA,Normal,11,2007,355344
591,Timber,1Fam,1Story,7,7,1884,1885,952,361,546,0,2,2,0,7,2,687,19120,86,Ex,Ex,Fa,Partial,1,2009,503199
586,ClearCr,1Fam,2Story,6,5,1935,1935,2095,1586,1082,838,5,2,0,8,2,572,11745,81,TA,Fa,Ex,Normal,1,2006,669377
1202,NoRidge,TwnhsE,2Story,7,6,1990,2010,646,325,262,258,3,1,1,7,1,183,16562,73,Gd,TA,TA,Normal,11,2007,556172
199,MeadowV,1Fam,1Story,10,5,1940,1979,1164,720,726,0,4,2,0,8,2,404,17424,87,Gd,TA,Gd,Normal,1,2006,494716
917,Crawfor,1Fam,SFoyer,7,7,1960,1966,1042,724,569,0,3,2,1,6,1,249,13034,76,TA,Gd,Po,Abnorml,11,2009,314132
995,Blmngtn,1Fam,SLvl,7,8,1951,1958,1511,675,895,0,5,2,0,10,0,0,20089,59,TA,Gd,Gd,Normal,8,2009,625144
1229,BrDale,1Fam,2Story,7,5,1948,1957,1457,1194,1012,582,4,2,1,7,2,387,5839,51,Gd,TA,Gd,Normal,9,2007,392729
44,MeadowV,1Fam,SLvl,8,9,1907,1919,1844,683,1030,0,5,2,1,8,1,257,6557,77,TA,TA,Gd,Normal,6,2007,489763
1034,Timber,1Fam,1Story,4,6,1908,1925,1735,1163,725,0,2,3,1,7,2,361,9861,47,Gd,TA,Gd,Abnorml,10,2009,467344
692,NWAmes,1Fam,1Story,8,8,1895,1908,1536,522,793,0,3,1,1,5,0,0,10006,44,Gd,Gd,Ex,Normal,2,2007,565099
232,Mitchel,1Fam,1Story,4,6,1944,1953,1777,1439,1150,0,3,2,0,8,1,251,16578,79,TA,Gd,Gd,Normal,6,2007,429455
527,Gilbert,1Fam,1.5Fin,10,6,1911,1949,2170,1371,1306,0,2,1,0,4,2,460,8732,95,Gd,Gd,TA,Normal,6,2010,743961
102,SWISU,1Fam,1Story,7,5,1890,1920,1548,1333,845,0,4,1,1,8,2,412,10567,20,Fa,Gd,Gd,Normal,4,2006,333407
1093,NPkVill,1Fam,2Story,4,6,1977,2010,2446,1491,1166,978,3,2,0,8,2,523,4978,65,Gd,TA,Ex,Abnorml,11,2007,671175
412,IDOTRR,1Fam,2Story,10,5,1938,1959,1695,540,1034,678,4,1,0,6,2,438,5421,68,Gd,Gd,TA,Normal,10,2008,439732
1393,Veenker,1Fam,1Story,6,3,1874,1890,1536,621,1032,0,4,2,0,9,3,616,8365,59,TA,Gd,Gd,Normal,12,2006,412041
908,CollgCr,1Fam,1Story,4,4,1881,1906,2154,1140,1233,0,2,3,1,7,3,744,12231,104,Gd,TA,Gd,Normal,11,2006,472836
783,ClearCr,1Fam,1Story,7,6,1985,1998,1064,554,440,0,3,2,0,6,1,248,4177,66,Gd,Gd,TA,Normal,12,2009,574129
953,Veenker,1Fam,1Story,5,6,2000,2010,1451,897,710,0,3,2,1,7,3,654,12703,83,Po,Gd,Gd,Normal,1,2008,416188
621,Veenker,1Fam,1Story,7,5,2006,2010,1718,557,793,0,4,2,1,8,2,418,4297,82,Ex,TA,TA,Normal,1,2008,755000
670,Crawfor,1Fam,1Story,7,6,1958,1974,973,296,475,0,4,2,0,8,2,425,6993,70,TA,TA,Ex,Normal,8,2006,551319
129,NoRidge,1Fam,1Story,8,8,1984,1985,1549,1371,624,0,3,2,1,7,2,335,8135,99,Gd,Fa,Gd,Normal,4,2010,755000
530,Landmrk,1Fam,1Story,8,7,1957,1969,1157,766,633,0,2,0,0,5,1,232,9497,54,TA,TA,TA,Normal,4,2007,345596
911,NPkVill,1Fam,1Story,6,5,1984,2001,1423,1096,799,0,2,1,1,5,3,681,28071,55,TA,Ex,Gd,Normal,10,2010,480643
999,IDOTRR,1Fam,2Story,8,5,1983,1998,1627,534,856,650,4,1,1,8,2,276,15156,87,TA,TA,TA,Partial,1,2006,345629
1451,SawyerW,1Fam,1Story,10,7,1972,1996,1907,1001,961,0,1,2,0,5,2,418,7725,106,Gd,Gd,Ex,Abnorml,8,2007,755000
1164,OldTown,TwnhsE,2Story,9,7,2005,2007,1295,1151,727,518,2,1,0,6,0,0,12926,92,TA,TA,Gd,Normal,11,2010,571799
248,BrDale,1Fam,1Story,7,5,1999,2010,1575,1099,856,0,4,3,1,9,2,388,14229,43,TA,Gd,TA,Normal,8,2008,412670
529,NridgHt,1Fam,2Story,8,6,1917,1918,2428,1483,1301,971,3,1,0,5,2,278,9729,64,TA,Gd,TA,Normal,12,2009,755000
734,Mitchel,1Fam,1Story,8,8,1932,1951,1623,1289,710,0,3,2,0,8,2,425,17403,41,Gd,Gd,Ex,Normal,3,2009,755000
33,NridgHt,1Fam,2Story,8,6,1883,1913,951,352,526,380,3,2,0,7,2,550,29319,86,TA,Gd,TA,Normal,10,2008,556217
635,StoneBr,1Fam,1Story,6,7,1978,2002,1570,790,1033,0,2,2,1,5,2,507,11150,56,Gd,Gd,Gd,Normal,5,2010,755000
1028,BrkSide,TwnhsE,2Story,7,5,1985,2000,2035,766,1260,814,4,2,1,9,1,283,7130,82,TA,Gd,Gd,Abnorml,10,2008,532153
1054,Edwards,1Fam,2Story,4,6,1972,2010,1224,717,494,489,3,1,1,6,2,415,9929,99,Gd,Gd,Ex,Normal,3,2007,381466
576,IDOTRR,1Fam,1Story,8,6,1992,1993,1463,1185,798,0,3,2,1,8,1,206,5817,77,TA,Gd,TA,Normal,2,2008,362298
844,IDOTRR,1Fam,1Story,7,6,1990,1991,1296,876,806,0,2,1,2,6,2,376,10705,20,Gd,TA,TA,Normal,3,2007,408756
298,Somerst,1Fam,1Story,10,8,1890,1922,1808,1284,1068,0,3,1,1,7,2,574,11617,84,TA,Gd,Po,Normal,9,2010,542236
262,BrDale,1Fam,1Story,7,7,2002,2010,961,363,451,0,3,3,0,8,2,421,5512,47,TA,Gd,Gd,Normal,1,2008,366116
1047,ClearCr,TwnhsE,1Story,10,5,1988,2010,1330,983,811,0,3,2,0,7,3,632,5429,20,TA,Gd,TA,Normal,8,2009,755000
940,NAmes,1Fam,1.5Fin,8,3,1933,1935,2720,962,1535,0,3,2,0,6,2,453,8691,26,TA,Po,Ex,Partial,3,2007,706146
310,Crawfor,1Fam,1Story,10,8,1877,1907,1507,984,727,0,2,2,0,5,2,432,9504,90,Gd,Gd,Gd,Normal,3,2007,755000
164,Mitchel,2fmCon,2Story,6,6,1912,1942,1886,953,1094,754,3,2,0,8,2,522,10697,103,Gd,TA,Gd,Partial,9,2006,472871
1010,SawyerW,1Fam,1Story,9,4,1896,1916,2187,1227,1213,0,3,2,1,6,2,583,9791,40,TA,TA,Ex,Partial,5,2008,679633
600,NridgHt,1Fam,1Story,3,6,2006,2010,1033,542,509,0,4,1,1,8,1,268,7298,66,TA,Ex,Gd,Partial,7,2009,375637
1176,NAmes,1Fam,1Story,8,7,2010,2010,1370,904,837,0,3,2,1,6,2,609,8664,85,Gd,Gd,TA,Normal,11,2009,640845
372,NoRidge,1Fam,1.5Fin,7,5,1989,2010,1704,1032,738,0,4,2,1,9,2,494,6892,109,TA,TA,Ex,AdjLand,5,2010,755000
240,Veenker,1Fam,1Story,9,6,2002,2010,1380,467,905,0,2,3,1,8,1,245,29900,53,Gd,Gd,Gd,Family,8,2009,755000
